Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1479571417.024,,1.000000e+003,4.998919e+000,1.317663e-003,1.110032e-006,3,9.855288e-001,8.424248e-002,,,,,,,,,,,,,,32,3,6.000000e+000,4.473686e-003,0.000000e+000,0,,0,
1479571643.715,,1.000000e+003,5.997171e+000,1.122738e-003,6.061287e-007,3,9.845017e-001,5.398664e-002,,,,,,,,,,,,,,32,3,6.000000e+000,6.254673e-003,0.000000e+000,0,,0,
1479571886.145,,1.000000e+003,6.995976e+000,9.802849e-004,6.220387e-007,3,9.832120e-001,6.345490e-002,,,,,,,,,,,,,,32,3,6.000000e+000,7.544041e-003,0.000000e+000,0,,0,
1479572111.211,,1.000000e+003,7.997650e+000,8.769354e-004,5.323187e-007,3,9.818967e-001,6.070216e-002,,,,,,,,,,,,,,32,3,6.000000e+000,7.026672e-003,0.000000e+000,0,,0,
1479572336.785,,1.000000e+003,8.998193e+000,7.961268e-004,2.385021e-007,3,9.809959e-001,2.995780e-002,,,,,,,,,,,,,,32,3,6.000000e+000,4.033089e-003,0.000000e+000,0,,0,
1479572566.203,,1.000000e+003,9.998103e+000,7.314496e-004,2.572719e-007,3,9.798632e-001,3.517288e-002,,,,,,,,,,,,,,32,3,6.000000e+000,5.069733e-003,0.000000e+000,0,,0,
1479572802.950,,1.000000e+003,1.095143e+001,6.792555e-004,2.882139e-007,3,9.788692e-001,4.243086e-002,,,,,,,,,,,,,,32,3,6.000000e+000,1.353073e-002,0.000000e+000,0,,0,
1479573048.564,,1.000000e+003,1.199781e+001,6.313492e-004,3.409828e-007,3,9.777949e-001,5.400858e-002,,,,,,,,,,,,,,32,3,6.000000e+000,2.980232e-003,0.000000e+000,0,,0,
1479573289.147,,1.000000e+003,1.300035e+001,5.949147e-004,2.640457e-007,3,9.776676e-001,4.438379e-002,,,,,,,,,,,,,,32,3,6.000000e+000,8.569717e-003,0.000000e+000,0,,0,
1479573527.253,,1.000000e+003,1.399840e+001,5.634178e-004,7.189989e-007,3,9.762259e-001,1.276138e-001,,,,,,,,,,,,,,32,3,6.000000e+000,4.280090e-003,0.000000e+000,0,,0,
1479575621.802,,1.000000e+003,1.481601e+001,5.417555e-004,8.027408e-007,3,9.756687e-001,1.481740e-001,,,,,,,,,,,,,,32,3,6.000000e+000,9.450912e-003,0.000000e+000,0,,0,
1479577727.609,,1.000000e+003,1.579121e+001,5.182854e-004,2.715808e-007,3,9.745252e-001,5.239986e-002,,,,,,,,,,,,,,32,3,6.000000e+000,5.400658e-003,0.000000e+000,0,,0,
1479579834.174,,1.000000e+003,1.677033e+001,4.963221e-004,5.805805e-007,3,9.740854e-001,1.169766e-001,,,,,,,,,,,,,,32,3,6.000000e+000,4.888535e-003,0.000000e+000,0,,0,
1479581957.346,,1.000000e+003,1.776207e+001,4.776425e-004,1.747843e-008,3,9.727023e-001,3.659312e-003,,,,,,,,,,,,,,32,3,6.000000e+000,4.798889e-003,0.000000e+000,0,,0,
1479582201.798,,1.000000e+003,1.897593e+001,4.571615e-004,1.002099e-006,3,9.723946e-001,2.192003e-001,,,,,,,,,,,,,,32,3,6.000000e+000,1.648903e-002,0.000000e+000,0,,0,
1479582434.333,,1.000000e+003,1.999887e+001,4.423308e-004,3.539777e-007,3,9.717522e-001,8.002556e-002,,,,,,,,,,,,,,32,3,6.000000e+000,4.360199e-003,0.000000e+000,0,,0,
